MM,AM,BM,CM,MA,AA,BA,CA,MB,AB,BB,CB,MC,AC,BC,CC,DifA,DifB,DifC,DegA,DegB,DegC
0,0,0,0,0,0,5.315514926,-7.446082494,0,0,-0.8922943708,7.487089912,9.602971912,0,0,0,0.005707388386,0.01251308562,0.09388706648,0.0422221603,0.1266012783,0.07121827274
0,0,0,0,0,0,3.91672203,-5.399324721,0,0,0.2713160389,4.728605527,9.560608872,0,0,0,0.001531333567,0.05894481464,0.01285837542,0.07300432597,0.1233502061,0.06347079498
0,0,0,0,0,0,5.315514926,-7.586340763,0,0,-0.8377678223,7.663340053,9.604922301,0,0,0,0.008446924566,0.01710401953,0.06252135623,0.1193782364,0.1266012783,0.06915650327
0,0,0,0,0,0,3.964658405,-5.292063934,0,0,0.2713160389,4.54522771,9.560608872,0,0,0,0.005802916621,0.02329829695,0.03386402609,0.1175369401,0.1233502061,0.06265819274
0,0,0,0,9.920428996,0,0,0,3.045435725,2.192418661,0,0,0,-9.390259037,4.281630175,1.995388163,0.06699689056,0.02236682837,0.007713469144,0.04876908363,0.05937869049,0.1249490709
0,0,0,0,9.486057023,0,0,0,0,3.170711501,0,0,0,-3.79786805,1.979348054,0,0.003714012948,0.041168158,0.01221733322,0.03804020323,0.05402576675,0.1286176858
0,0,0,0,9.920428996,0,0,0,3.045435725,2.192418661,0,0,0,-9.905030642,4.281630175,2.25188406,0.004297964268,0.0793095114,0.01599219255,0.04900568012,0.05525526311,0.1249490709
0,0,0,0,9.996256248,0,0,0,3.258577648,2.342725242,0,0,0,-8.787845149,4.2273767,0,0.07135439373,0.09176466787,0.01018970488,0.05336697535,0.05792069038,0.1249490709
0,0,0,0,9.853988773,0,0,0,0,3.232797199,0,0,0,-3.458343336,2.022351943,0,0.01354295368,0.03279472707,0.01251404053,0.03877245137,0.04686547174,0.1223794124
0,0,0,0,9.787591978,0,0,0,2.381751124,2.565339577,0,0,0,-8.34010736,3.676981362,0,0.08554318414,0.04296645828,0.004020744445,0.048210892,0.05294815939,0.111935086
0,0,0,0,6.541949479,0,0,0,0,-9.186549949,0.5832076221,2.07458193,0,5.053021514,0,0,0.09752925198,0.001001447522,0.03204904703,0.03245279179,0.1172899017,0.05507984317
0,0,0,0,7.423112896,0,0,0,0,-9.962421102,0,3.976771646,4.821846482,3.572124769,0,0,0.05483701941,0.001996402508,0.05343530645,0.03637064728,0.04656890211,0.07029006811
0,0,0,0,7.121860662,0,0,0,6.292058408,-6.877171924,0,2.216948174,0,4.705454421,0,0,0.01610807779,0.01580803326,0.04539823169,0.03454085747,0.04215648549,0.06716491334
0,0,0,0,9.787591978,0,0,0,0,2.565339577,0,0,7.871134679,-8.34010736,3.676981362,1.07309201,0.019982507,0.009725610692,0.002646279306,0.03932891951,0.05522156115,0.05361636986
0,0,0,0,9.787591978,0,0,0,0,2.565339577,0,0,0,-8.475752476,3.676981362,1.574585025,0.005276684902,0.03108445779,0.004242169119,0.03986916545,0.05198311386,0.05110755694
0,0,0,0,9.853435724,0,0,0,0,2.655743247,0,0,0,-6.902999979,3.596949897,0,0.002944069781,0.07863813265,0.002491601558,0.03996128833,0.05078871616,0.08461023362
